Well ID;UWI;Common Well Name;X;Y;Pick Name;Pick Z;Nearest Node Z;Surface Intersection Z;Delta;Delta Reverse;Absolute Delta;Interpreter Id;Observation #
158;BERL0001;BERL-1;1020207.798;1278820.347;CCUS_01_DISC_TK;6958.999932;6977.0117;6966.756;7.755927682;-7.755927682;7.755927682;LMRC;-1
350;BERL0002;BERL-2;1022863.313;1279619.735;CCUS_01_DISC_TK;7089.999829;7086.4653;7107.172;17.17204618;-17.17204618;17.17204618;LMRC;-1
19;CARD0001;CARD-1;1023881.317;1277912.935;CCUS_01_DISC_TK;7909.999856;7841.2886;7842.2017;-67.79819608;67.79819608;67.79819608;LMRC;-1
361;CARD0012;CARD-12;1023417.419;1278154.843;CCUS_01_DISC_TK;7915.452128;7846.31;7847.783;-67.66892448;67.66892448;67.66892448;LMRC;-1
39;CARD0001N;CARD-1N;1022533.697;1278615.78;CCUS_01_DISC_TK;7872.611423;7932.952;7937.7935;65.18203354;-65.18203354;65.18203354;LMRC;-1
351;CARD0002;CARD-2;1023622.184;1278323.517;CCUS_01_DISC_TK;7845.769842;7783.2256;7781.7363;-64.03351402;64.03351402;64.03351402;LMRC;-1
352;CARD0003;CARD-3;1024134.629;1278282.365;CCUS_01_DISC_TK;7815.590042;7772.433;7768.8867;-46.70332289;46.70332289;46.70332289;LMRC;-1
353;CARD0004;CARD-4;1023151.929;1278264.587;CCUS_01_DISC_TK;7951.372699;7911.7847;7917.341;-34.03187881;34.03187881;34.03187881;LMRC;-1
354;CARD0005;CARD-5;1022681.158;1278220.327;CCUS_01_DISC_TK;8078.80737;8110.308;8107.1567;28.3493679;-28.3493679;28.3493679;LMRC;-1
355;CARD0006;CARD-6;1023880.378;1278187.068;CCUS_01_DISC_TK;7846.161895;7768.299;7760.8413;-85.32058686;85.32058686;85.32058686;LMRC;-1
43;GALA0001;GALA-1;1023966.165;1279853.49;CCUS_01_DISC_TK;7356.489738;7492.271;7493.087;136.597176;-136.597176;136.597176;LMRC;-1
380;GALA0010;GALA-10;1024053.126;1280163.909;CCUS_01_DISC_TK;7391.049999;7500.283;7501.746;110.696095;-110.696095;110.696095;LMRC;-1
381;GALA0011;GALA-11;1024387.863;1279717.538;CCUS_01_DISC_TK;7438.550088;7444.015;7448.921;10.37081063;-10.37081063;10.37081063;LMRC;-1
382;GALA0012;GALA-12;1023985.434;1280696.872;CCUS_01_DISC_TK;7225.044041;7441.5674;7452.892;227.8480492;-227.8480492;227.8480492;LMRC;-1
383;GALA0013;GALA-13;1024782.479;1281198.166;CCUS_01_DISC_TK;7502.871696;7662.8506;7662.3555;159.4837729;-159.4837729;159.4837729;LMRC;-1
385;GALA0015;GALA-15;1024768.907;1280469.944;CCUS_01_DISC_TK;7603.575497;7737.4756;7734.9844;131.4088781;-131.4088781;131.4088781;LMRC;-1
387;GALA0017;GALA-17;1024174.93;1281107.546;CCUS_01_DISC_TK;7415.730113;7460.6562;7468.3384;52.60826589;-52.60826589;52.60826589;LMRC;-1
67;GALA0001E;GALA-1E;1025635.243;1280943.824;CCUS_01_DISC_TK;7518.999937;7658.527;7660.1733;141.173403;-141.173403;141.173403;LMRC;-1
46;GALA0001K;GALA-1K;1026511.978;1281388.815;CCUS_01_DISC_TK;7497.17958;7502.954;7509.457;12.27745138;-12.27745138;12.27745138;LMRC;-1
47;GALA0001X;GALA-1X;1023719.127;1280663.164;CCUS_01_DISC_TK;7171.999982;7373.083;7372.8896;200.8896669;-200.8896669;200.8896669;LMRC;-1
372;GALA0002;GALA-2;1024359.346;1280143.26;CCUS_01_DISC_TK;7426.900108;7525.0967;7518.0146;91.11454058;-91.11454058;91.11454058;LMRC;-1
373;GALA0003;GALA-3;1023610.468;1279540.442;CCUS_01_DISC_TK;7457.760242;7552.6772;7556.4546;98.69434762;-98.69434762;98.69434762;LMRC;-1
374;GALA0004;GALA-4;1024062.361;1279417.263;CCUS_01_DISC_TK;7401.119917;7439.3477;7440.863;39.74287558;-39.74287558;39.74287558;LMRC;-1
375;GALA0005;GALA-5;1024031.775;1280449.007;CCUS_01_DISC_TK;7335.530206;7501.918;7505.3286;169.7984076;-169.7984076;169.7984076;LMRC;-1
379;GALA0009;GALA-9;1023655.925;1280028.255;CCUS_01_DISC_TK;7355.970121;7528.9937;7525.9316;169.9615195;-169.9615195;169.9615195;LMRC;-1
526;GALN0124;GALN-124;1021052.589;1276996.209;CCUS_01_DISC_TK;7390.223785;7548.2285;7497.8813;107.6575623;-107.6575623;107.6575623;LMRC;-1
528;GALN0130;GALN-130ST;1020637.479;1276360.672;CCUS_01_DISC_TK;6804.968836;7061.809;7071.2007;266.2318471;-266.2318471;266.2318471;LMRC;-1
530;GALN0134;GALN-134;1020159.323;1275867.743;CCUS_01_DISC_TK;6729.148737;6818.7397;6814.102;84.95331356;-84.95331356;84.95331356;LMRC;-1
531;GALN0135;GALN-135;1020535.742;1275997.888;CCUS_01_DISC_TK;6939.384077;7072.429;7082.0073;142.6232476;-142.6232476;142.6232476;LMRC;-1
473;GALN0064;GALN-64;1022670.697;1276096.844;CCUS_01_DISC_TK;7949.179864;8147.5464;8150.456;201.2761908;-201.2761908;201.2761908;LMRC;-1
478;GALN0069;GALN-69;1020649.782;1276083.44;CCUS_01_DISC_TK;6995.929849;7184.609;7162.9136;166.9837257;-166.9837257;166.9837257;LMRC;-1
480;GALN0071;GALN-71;1020489.391;1276331.484;CCUS_01_DISC_TK;6860.050162;7001.964;7008.8423;148.7921229;-148.7921229;148.7921229;LMRC;-1
483;GALN0076;GALN-76;1020823.742;1276843.845;CCUS_01_DISC_TK;7012.700122;7194.641;7210.6523;197.9522214;-197.9522214;197.9522214;LMRC;-1
485;GALN0078;GALN-78;1021037.167;1277091.901;CCUS_01_DISC_TK;7547.839897;7193.3955;7298.726;-249.1138223;249.1138223;249.1138223;LMRC;-1
487;GALN0080;GALN-80;1021230.732;1277332.342;CCUS_01_DISC_TK;7459.939898;7511.428;7498.466;38.52592212;-38.52592212;38.52592212;LMRC;-1
488;GALN0081;GALN-81;1020642.669;1277122.903;CCUS_01_DISC_TK;6816.569839;7089.7295;7082.2783;265.7084815;-265.7084815;265.7084815;LMRC;-1
490;GALN0083;GALN-83;1021155.109;1276318.429;CCUS_01_DISC_TK;7464.850218;7696.1284;7686.125;221.2747821;-221.2747821;221.2747821;LMRC;-1
491;GALN0084;GALN-84;1021376.72;1277100.368;CCUS_01_DISC_TK;7490.510164;7790.4907;7795.8022;305.292082;-305.292082;305.292082;LMRC;-1
175;LLAN0001;LLAN-1;1029044.888;1286482.244;CCUS_01_DISC_TK;7159.000248;7156.5996;7172.191;13.19066948;-13.19066948;13.19066948;LMRC;-1
614;LLAN0100;LLAN-100;1028009.767;1284306.806;CCUS_01_DISC_TK;7467.999851;7456.605;7451.806;-16.19369908;16.19369908;16.19369908;LMRC;-1
618;LLAN0104;LLAN-104;1025650.664;1281755.201;CCUS_01_DISC_TK;7537.700005;7522.6514;7526.916;-10.78398942;10.78398942;10.78398942;LMRC;-1
620;LLAN0105;LLAN-105;1026202.946;1281652.46;CCUS_01_DISC_TK;7525.420044;7431.5083;7435.987;-89.43322754;89.43322754;89.43322754;LMRC;-1
621;LLAN0106;LLAN-106;1026947.951;1282448.242;CCUS_01_DISC_TK;7518.769802;7337.5015;7335.0625;-183.7073017;183.7073017;183.7073017;LMRC;-1
622;LLAN0107;LLAN-107;1026930.191;1283052.713;CCUS_01_DISC_TK;7430.080603;7176.5513;7177.9575;-252.123083;252.123083;252.123083;LMRC;-1
623;LLAN0108;LLAN-108;1025867.605;1284419.308;CCUS_01_DISC_TK;7163.240083;7166.775;7166.9995;3.75942906;-3.75942906;3.75942906;LMRC;-1
624;LLAN0109;LLAN-109;1026333.131;1283880.888;CCUS_01_DISC_TK;7182.573651;7123.671;7128.0903;-54.48331873;54.48331873;54.48331873;LMRC;-1
272;LLAN0110;LLAN-110;1027239.05;1285144.996;CCUS_01_DISC_TK;7260.640955;7246.8657;7266.777;6.1359007;-6.1359007;6.1359007;LMRC;-1
625;LLAN0111;LLAN-111;1027536.307;1284461.005;CCUS_01_DISC_TK;7353.364525;7291.816;7300.1807;-53.18386142;53.18386142;53.18386142;LMRC;-1
626;LLAN0112;LLAN-112;1026501.368;1284229.198;CCUS_01_DISC_TK;7218.733299;7223.0083;7221.1885;2.4551774;-2.4551774;2.4551774;LMRC;-1
282;LLAN0113;LLAN-113;1027914.971;1284702.408;CCUS_01_DISC_TK;7417.421612;7348.864;7355.01;-62.41184685;62.41184685;62.41184685;LMRC;-1
176;LLAN0114;LLAN-114;1027469.509;1286958.387;CCUS_01_DISC_TK;7083.243948;7159.3784;7158.7437;75.49970397;-75.49970397;75.49970397;LMRC;-1
284;LLAN0115;LLAN-115;1025259.034;1284476.078;CCUS_01_DISC_TK;7254.847084;7357.0596;7364.5293;109.6822128;-109.6822128;109.6822128;LMRC;-1
627;LLAN0116;LLAN-116;1025453.624;1283481.953;CCUS_01_DISC_TK;7188.193473;7252.9546;7262.05;73.85633152;-73.85633152;73.85633152;LMRC;-1
294;LLAN0117;LLAN-117;1027760.174;1284447.972;CCUS_01_DISC_TK;7463.874525;7411.4585;7411.7944;-52.08009158;52.08009158;52.08009158;LMRC;-1
628;LLAN0118;LLAN-118;1027365.928;1284361.815;CCUS_01_DISC_TK;7347.658954;7261.9844;7262.561;-85.09791879;85.09791879;85.09791879;LMRC;-1
629;LLAN0119;LLAN-119;1027161.174;1284049.123;CCUS_01_DISC_TK;7420.023578;7277.799;7277.2866;-142.7369567;142.7369567;142.7369567;LMRC;-1
555;LLAN0012;LLAN-12;1025731.073;1283470.818;CCUS_01_DISC_TK;7120.160131;7148.823;7147.9956;27.83547443;-27.83547443;27.83547443;LMRC;-1
631;LLAN0121;LLAN-121;1025324.787;1281715.36;CCUS_01_DISC_TK;7518.031716;7547.9097;7547.042;29.01027658;-29.01027658;29.01027658;LMRC;-1
632;LLAN0122;LLAN-122;1027898.136;1285350.022;CCUS_01_DISC_TK;7219.767057;7154.996;7193.3975;-26.36959582;26.36959582;26.36959582;LMRC;-1
633;LLAN0123;LLAN-123;1028125.215;1284807.83;CCUS_01_DISC_TK;7606.743395;7385.6963;7390.37;-216.3732782;216.3732782;216.3732782;LMRC;-1
634;LLAN0125;LLAN-125;1026754.614;1282686.889;CCUS_01_DISC_TK;7445.672492;7195.1157;7188.742;-256.9303045;256.9303045;256.9303045;LMRC;-1
635;LLAN0126;LLAN-126;1026002.107;1281744.378;CCUS_01_DISC_TK;7536.320455;7426.076;7430.58;-105.7403771;105.7403771;105.7403771;LMRC;-1
637;LLAN0127;LLAN-127;1027751.527;1284278.272;CCUS_01_DISC_TK;7482.846863;7405.6504;7408.733;-74.11395255;74.11395255;74.11395255;LMRC;-1
556;LLAN0013;LLAN-13;1026023.618;1282103.572;CCUS_01_DISC_TK;7545.900086;7394.025;7396.0503;-149.849793;149.849793;149.849793;LMRC;-1
639;LLAN0130;LLAN-130;1026395.073;1282469.168;CCUS_01_DISC_TK;7389.007271;7182.5728;7183.0674;-205.9398877;205.9398877;205.9398877;LMRC;-1
641;LLAN0132;LLAN-132;1027046.544;1283230.58;CCUS_01_DISC_TK;7415.512443;7181.411;7179.5796;-235.9328531;235.9328531;235.9328531;LMRC;-1
645;LLAN0136;LLAN-136;1025905.275;1284082.758;CCUS_01_DISC_TK;7166.817844;7143.2837;7151.4214;-15.39645735;15.39645735;15.39645735;LMRC;-1
557;LLAN0014;LLAN-14;1026461.674;1283619.557;CCUS_01_DISC_TK;7269.469925;7169.898;7161.368;-108.1017605;108.1017605;108.1017605;LMRC;-1
558;LLAN0015;LLAN-15;1027370.529;1285979.852;CCUS_01_DISC_TK;7169.299803;7224.439;7226.1;56.80029446;-56.80029446;56.80029446;LMRC;-1
559;LLAN0016;LLAN-16;1027123.023;1283796.76;CCUS_01_DISC_TK;7451.179881;7296.851;7284.965;-166.2150368;166.2150368;166.2150368;LMRC;-1
560;LLAN0017;LLAN-17;1027518.292;1285321.632;CCUS_01_DISC_TK;7272.450035;7317.74;7316.8384;44.38834358;-44.38834358;44.38834358;LMRC;-1
561;LLAN0018;LLAN-18;1025302.281;1282035.954;CCUS_01_DISC_TK;7411.669049;7419.312;7405.197;-6.472271492;6.472271492;6.472271492;LMRC;-1
562;LLAN0019;LLAN-19;1024438.087;1282557.384;CCUS_01_DISC_TK;7337.129992;7383.889;7380.441;43.31092644;-43.31092644;43.31092644;LMRC;-1
311;LLAN0002;LLAN-2;1027780.087;1286419.759;CCUS_01_DISC_TK;7124.300066;7070.7637;7064.54;-59.76002741;59.76002741;59.76002741;LMRC;-1
563;LLAN0020;LLAN-20;1027211.832;1283091.287;CCUS_01_DISC_TK;7395.899998;7217.7295;7219.118;-176.7818336;176.7818336;176.7818336;LMRC;-1
564;LLAN0022;LLAN-22;1025399.91;1281332.473;CCUS_01_DISC_TK;7533.579936;7589.619;7595.809;62.22914577;-62.22914577;62.22914577;LMRC;-1
565;LLAN0023;LLAN-23;1028188.048;1285432.812;CCUS_01_DISC_TK;7067.930111;7016.5386;7032.9316;-34.99846991;34.99846991;34.99846991;LMRC;-1
567;LLAN0026;LLAN-26;1027778.619;1283914.578;CCUS_01_DISC_TK;7539.690226;7431.2354;7433.3945;-106.2956948;106.2956948;106.2956948;LMRC;-1
568;LLAN0027;LLAN-27;1027382.645;1282438.254;CCUS_01_DISC_TK;7601.799869;7430.38;7441.508;-160.2920564;160.2920564;160.2920564;LMRC;-1
569;LLAN0028;LLAN-28;1025185.368;1282688.638;CCUS_01_DISC_TK;7217.189999;7231.0356;7217.766;0.576114178;-0.576114178;0.576114178;LMRC;-1
570;LLAN0029;LLAN-29;1027891.108;1283159.997;CCUS_01_DISC_TK;7700.590235;7514.6274;7524.1772;-176.4129884;176.4129884;176.4129884;LMRC;-1
548;LLAN0003;LLAN-3;1029247.013;1285285.288;CCUS_01_DISC_TK;7645.220168;7792.1714;7801.74;156.5200659;-156.5200659;156.5200659;LMRC;-1
571;LLAN0030;LLAN-30;1026827.487;1283374.069;CCUS_01_DISC_TK;7365.729839;7318.551;7321.507;-44.22300355;44.22300355;44.22300355;LMRC;-1
572;LLAN0031;LLAN-31;1027253.631;1284891.998;CCUS_01_DISC_TK;7256.1901;7263.5063;7256.4126;0.22249794;-0.22249794;0.22249794;LMRC;-1
573;LLAN0032;LLAN-32;1024613.043;1281891.078;CCUS_01_DISC_TK;7278.950141;7399.4805;7402.641;123.6909723;-123.6909723;123.6909723;LMRC;-1
576;LLAN0034;LLAN-34;1025056.23;1284068.597;CCUS_01_DISC_TK;7270.100195;7370.2944;7374.6084;104.5082035;-104.5082035;104.5082035;LMRC;-1
184;LLAN0036;LLAN-36;1027314.889;1286616.264;CCUS_01_DISC_TK;7042.999814;7151.286;7150.8745;107.8746973;-107.8746973;107.8746973;LMRC;-1
577;LLAN0037;LLAN-37;1025566.645;1282421.374;CCUS_01_DISC_TK;7419.670077;7393.7173;7407.4673;-12.20279187;12.20279187;12.20279187;LMRC;-1
578;LLAN0038;LLAN-38;1026936.965;1282689.453;CCUS_01_DISC_TK;7414.680131;7202.342;7215.7773;-198.9027876;198.9027876;198.9027876;LMRC;-1
281;LLAN0004;LLAN-4;1031054.063;1285437.595;CCUS_01_DISC_TK;8027.920193;8827.812;8819.028;791.1081274;-791.1081274;791.1081274;LMRC;-1
581;LLAN0041;LLAN-41;1025034.908;1283357.494;CCUS_01_DISC_TK;7228.600013;7309.3745;7307.7217;79.12166631;-79.12166631;79.12166631;LMRC;-1
582;LLAN0045;LLAN-45;1026792.587;1283577.303;CCUS_01_DISC_TK;7401.16136;7454.717;7443.767;42.60572973;-42.60572973;42.60572973;LMRC;-1
288;LLAN0005;LLAN-5;1028921.819;1283910.122;CCUS_01_DISC_TK;7665.685125;7821.7188;7821.621;155.935969;-155.935969;155.935969;LMRC;-1
583;LLAN0055;LLAN-55;1025577.708;1284156.193;CCUS_01_DISC_TK;7196.440147;7258.903;7256.81;60.36991113;-60.36991113;60.36991113;LMRC;-1
584;LLAN0057;LLAN-57;1026265.239;1284355.13;CCUS_01_DISC_TK;7469.700409;7139.2993;7140.757;-328.9435726;328.9435726;328.9435726;LMRC;-1
549;LLAN0006;LLAN-6;1030265.963;1287634.264;CCUS_01_DISC_TK;8101.380179;8193.366;8184.937;83.55683285;-83.55683285;83.55683285;LMRC;-1
585;LLAN0060;LLAN-60;1027626.024;1284616.696;CCUS_01_DISC_TK;7369.420093;7343.112;7343.9673;-25.45280806;25.45280806;25.45280806;LMRC;-1
586;LLAN0061;LLAN-61;1026626.523;1284380.898;CCUS_01_DISC_TK;7250.343018;7232.413;7228.5054;-21.83764677;21.83764677;21.83764677;LMRC;-1
587;LLAN0069;LLAN-69;1026159.888;1285003.957;CCUS_01_DISC_TK;7069.730156;7116.295;7117.7744;48.04425788;-48.04425788;48.04425788;LMRC;-1
550;LLAN0007;LLAN-7;1027259.369;1281225.602;CCUS_01_DISC_TK;7708.199928;7687.05;7683.5366;-24.66330713;24.66330713;24.66330713;LMRC;-1
588;LLAN0071;LLAN-71;1026891.738;1285088.539;CCUS_01_DISC_TK;7169.089999;7161.946;7163.3555;-5.73453021;5.73453021;5.73453021;LMRC;-1
589;LLAN0072;LLAN-72;1027509.927;1283445.113;CCUS_01_DISC_TK;7476.019945;7321.3853;7318.9585;-157.0614491;157.0614491;157.0614491;LMRC;-1
591;LLAN0074;LLAN-74;1025343.963;1283804.399;CCUS_01_DISC_TK;7219.136744;7277.8076;7274.881;55.74411562;-55.74411562;55.74411562;LMRC;-1
592;LLAN0075;LLAN-75;1026016.961;1284703.895;CCUS_01_DISC_TK;7246.229921;7146.3696;7146.6167;-99.61322135;99.61322135;99.61322135;LMRC;-1
596;LLAN0079;LLAN-79;1026121.79;1283257.606;CCUS_01_DISC_TK;7231.809916;7156.1343;7170.4;-61.41001379;61.41001379;61.41001379;LMRC;-1
551;LLAN0008;LLAN-8;1028219.593;1279602.513;CCUS_01_DISC_TK;7692.429817;7723.045;7720.9155;28.48571062;-28.48571062;28.48571062;LMRC;-1
597;LLAN0080;LLAN-80;1027171.808;1283430.762;CCUS_01_DISC_TK;7316.337853;7146.996;7159.336;-157.0019154;157.0019154;157.0019154;LMRC;-1
598;LLAN0081;LLAN-81;1025905.86;1282468.839;CCUS_01_DISC_TK;7366.999939;7262.594;7266.9624;-100.0375366;100.0375366;100.0375366;LMRC;-1
599;LLAN0082;LLAN-82;1028048.568;1286123.233;CCUS_01_DISC_TK;6955.209947;6867.3467;6889.195;-66.01512265;66.01512265;66.01512265;LMRC;-1
600;LLAN0083;LLAN-83;1027125.418;1285481.914;CCUS_01_DISC_TK;7299.779871;7202.469;7203.644;-96.13582754;96.13582754;96.13582754;LMRC;-1
601;LLAN0084;LLAN-84;1025965.423;1283886.869;CCUS_01_DISC_TK;7117.325958;7107.241;7112.6196;-4.706329465;4.706329465;4.706329465;LMRC;-1
602;LLAN0085;LLAN-85;1024904.531;1282344.1;CCUS_01_DISC_TK;7287.494725;7298.3643;7307.586;20.09121263;-20.09121263;20.09121263;LMRC;-1
603;LLAN0086;LLAN-86;1026646.002;1285855.77;CCUS_01_DISC_TK;7014.178976;7141.104;7137.5137;123.3346959;-123.3346959;123.3346959;LMRC;-1
604;LLAN0087;LLAN-87;1025694.245;1285285.679;CCUS_01_DISC_TK;7091.989392;7320.983;7316.2705;224.2811156;-224.2811156;224.2811156;LMRC;-1
552;LLAN0009;LLAN-9;1026532.411;1283092.891;CCUS_01_DISC_TK;7413.100097;7189.983;7180.541;-232.5590813;232.5590813;232.5590813;LMRC;-1
605;LLAN0090;LLAN-90;1025435.001;1283869.274;CCUS_01_DISC_TK;7189.537345;7269.723;7268.5728;79.03540915;-79.03540915;79.03540915;LMRC;-1
186;LLAN0093;LLAN-93;1027000.492;1286211.447;CCUS_01_DISC_TK;7124.446592;7138.748;7136.503;12.05633776;-12.05633776;12.05633776;LMRC;-1
609;LLAN0095;LLAN-95;1027487.236;1283808.177;CCUS_01_DISC_TK;7507.816286;7323.1797;7328.6953;-179.1209738;179.1209738;179.1209738;LMRC;-1
610;LLAN0096;LLAN-96;1026186.592;1282831.723;CCUS_01_DISC_TK;7406.419947;7205.7114;7201.1035;-205.3164315;205.3164315;205.3164315;LMRC;-1
611;LLAN0097;LLAN-97;1026535.905;1282617.378;CCUS_01_DISC_TK;7385.690088;7168.803;7170.8813;-214.8087401;214.8087401;214.8087401;LMRC;-1
613;LLAN0099;LLAN-99;1025691.975;1283835.581;CCUS_01_DISC_TK;7184.239868;7219.926;7215.2886;31.04870605;-31.04870605;31.04870605;LMRC;-1
197;YUMA0001;YUMA-1;1025048.817;1280499.291;CCUS_01_DISC_TK;7703.9998;7766.786;7767.3423;63.34248543;-63.34248543;63.34248543;LMRC;-1
